oid,name
-10443,SELPA Administrators of California
-10442,S.d.a
-10441,"SD3, LLC"
-10440,Scripps Health
-10439,Screen Actors Guild
-10438,"Scpie Companies, The"
-10437,Scotts Valley Unified School District
-10436,Scotts Miracle-Gro Company
-10435,"Scoscheind, Inc."
-10434,Scoot Networks
-10433,SC Johnson  Son
-10432,SCIU Local 1000
-10431,SCIU California
-10430,SCIU
-10429,SCI FUNERAL & CEM PURCHASING CO
-10428,"Scientific Games International, Inc."
-10427,"Science Center of Pinellas County, Inc"
-10426,Sci California Funeral Services
-10425,"Schwartz, Page & Harding L.L.P."
-10424,SCHWARTZ PAGE & HARDING
-10423,Schuyler County
-10422,SCHUR REALTY COMPANY LLC
-10421,Schumacher Group
-10420,"Schulman, Lopez, Hoffer & Adelstein, LLP"
-10419,Schroder Investment Management North America Inc.
-10418,School Transportation Coalition
-10417,School Taxpayers Relief Coalition
-10416,"School Specialty, Inc./Delta Education"
-10415,School Innovations And Achievement
-10414,Schools For Sound Finance
-10413,School for Integrated Academics and Technologies
-10412,Schools First FCU Employees State PAC
-10411,School Facility Manufacturers' Association
-10410,School Energy Coalition
-10409,School Employers Association Of California
-10408,Scholastic
-10407,Scholarship America
-10406,SCHOENECKER CONSTRUCTION COMPANY LLC
-10405,Schnitzer Steel Products Company
-10404,Schnitzer Steel Industries
-10403,"Schneider National, Inc."
-10402,Schneider Electric
-10401,Schlumberger
-10400,Schlitterbahn Waterparks & Resorts
-10399,Schindler Elevator Corporation
-10398,Schertz-Cibolo Emergency Center LLC
-10397,ScheringPlough External Affairs Inc
-10396,Schering Corporation
-10395,Scheid Vineyards
-10394,Schale Communications
-10393,Scenic Texas Inc.
-10392,SCE
-10391,SCARBOROUGH FARMS
-10390,"Sca Personal Care, Health Care Division"
-10389,Scan Health Plan
-10388,SCAN Foundation
-10387,Sca Hygiene Products
-10386,"Sbe Restaurant Group, LLC"
-10385,Sawstop LLC
-10384,Save the Redwoods League
-10383,Save the American River Association
-10382,Save Porter Ranch
-10381,Save Our State
-10380,Save Our Forest
-10379,Savemart Supermarkets
-10378,"Sausalito, CA"
-10377,Saunders Property Company
-10376,Saugus Union School District
-10375,Satellite Tracking Of People LLC
-10374,Satellite Broadcasting And Communications Association
-10373,Sares Regis Group
-10372,Sa Recycling LLC
-10371,"Saratoga, City Of"
-10370,Sarasota Memorial Healthcare System
-10369,SARASOTA FOOT & ANKLE CENTER
-10368,"Sap Public Services, Inc"
-10367,San Xavier Foundation Of Cannery Row
-10366,"San Tomo, Inc."
-10365,"Santos Global, Inc"
-10364,SANTOS ALLIANCES
-10363,Santee Mobilehome Owner's Action Committee
-10362,"Santa Ynez River Water Conservation District, Improvement District No. 1"
-10361,Santa Ynez Band Of Chumash Indians
-10360,Santa Susana Mountain Park Association
-10359,Santa Rosa telephone Inc.
-10358,Santa Rosa Community Health Centers
-10357,Santa Rosa City Schools
-10356,"Santa Rosa, City Of"
-10355,Santa Rosa City Employees Association
-10354,"Santa Rosa, California"
-10353,Santa Rosa
-10352,Santa Paula Elementary School District
-10351,"Santa Paula, City Of"
-10350,Santa Monica Rent Control Board
-10349,Santa Monicans for Renters' Rights
-10348,Santa Monica Community College District
-10347,Santa Monica College
-10346,"Santa Monica, City Of"
-10345,Santa Monica's Big Blue Bus
-10344,Santa Monica
-10343,"Santa Maria Hostel, INC"
-10342,Santa Margarita Water District
-10341,Santa Margarita Water Agency
-10340,"Santa Fe Springs, City Of"
-10339,"SantaFe HealthCare, Inc"
-10338,Santa Cruz Metropolitan Transit District
-10337,Santa Cruz County Sheriffs Office SART
-10336,Santa Cruz County Regional Transportation Commission
-10335,Santa Cruz County Office Of Education
-10334,Santa Cruz County Health Service Agency
-10333,Santa Cruz County District Attorneys Office
-10332,"Santa Cruz, City Of"
-10331,"Santa Cruz, CA"
-10330,Santa Cruz Bicycles
-10329,Santa Clarita Valley School Districts Coalition
-10328,Santa Clarita City Of
-10327,Santa Clara Valley Water District
-10326,Santa Clara Valley Transportation Authority
-10325,Santa Clara Valley Open Space Authority
-10324,Santa Clara Unified School District
-10323,Santa Clara Public Defenders Office
-10322,Santa Clara Co. Office of Education
-10321,Santa Clara Government Attorneys Association
-10320,Santa Clara District Attorney's Office
-10319,Santa Clara County Open Space Authority
-10318,Santa Clara County Office Of Education
-10317,"Santa Clara, County Of"
-10316,Santa Clara County Health Authority Dba Santa Clara Family Health Plan
-10315,Santa Clara County District Attorney's Office
-10314,Santa Clara County Board of Supervisors
-10313,Santa Clara County activist for animals
-10312,Santa Clara County
-10311,Santa Clara Board of Supervisors
-10310,Santa Barbara Zoo
-10309,Santa Barbara Women's Political Committee
-10308,Santa Barbara Technology & Industry Assn.
-10307,Santa Barbara Rental Property Association
-10306,Santa Barbara Regional Health Authority
-10305,Santa Barbara Museum Of Natural History
-10304,Santa Barbara County Taxpayers Association
-10303,"Santa Barbara County, Supervisor Joan Hartmann"
-10302,Santa Barbara County Public Defenders Office
-10301,"Santa Barbara, County Of"
-10300,Santa Barbara County Education Office
-10299,Santa Barbara County Deputy Sheriffs Association
-10298,Santa Barbara County Association Of Governments
-10297,Santa Barbara Channelkeeper
-10296,Santa Barbara Botanic Garden
-10295,"Santa Barbara Apartment Association, Inc. Dba Santa Barbara Rental Property Association"
-10294,Santa Ana Watershed Project Authority
-10293,Santa Ana Unified School District
-10292,Santa Ana Police Officers Political Action Committee
-10291,Santa Ana Police Officers Association
-10290,"Santa Ana, City Of"
-10289,"Santa Ana, A Charter City Of The State Of California, City Of"
-10288,San Ramon Valley Unified School District
-10287,San Ramon Valley Fire Protection District
-10286,San Ramon Unified School District
-10285,"San Rafael, CA"
-10284,"San Rafael/Marin County Council Of Mayors & Council Members, City Of"
-10283,San Pablo
-10282,Sanofi US Services Inc. Employees' PAC
-10281,Sanofi US
-10280,Sanofi Pasteur
-10279,SanofiAventis Group
-10278,Sanofi
-10277,San Miguelito Partners
-10276,San Mateo Union High School District
-10275,San Mateo Office of Education
-10274,San Mateo County Transportation Authority
-10273,San Mateo County Transit District
-10272,San Mateo County Office Of Education
-10271,San Mateo County Expo Center
-10270,San Mateo County Economic Development Association
-10269,San Mateo County Community College District
-10268,San Mateo County-City/County Association Of Governments
-10267,San Mateo County
-10266,"San Martin Neighborhood Alliance, Inc."
-10265,San Marcos Prevention Coalition
-10264,"San Marcos, City Of"
-10263,"San Manuel Band Of Mission Indians, A Federally Recognized Indian Tribe"
-10262,San Manuel Band Of Mission Indians
-10261,San Luis Obispo County Office Of Education
-10260,"San Luis Obispo, County Of"
-10259,San Luis Obispo County Employees Association
-10258,San Luis Obispo Council of Governments
-10257,San Luis DeltaMendota Water Authority
-10256,San Luis Coastal Unified School District
-10255,San Luis & Delta-Mendota Water Authority
-10254,San Leandro Unified School District
-10253,"San Leandro, City Of"
-10252,Sankyo Pharma
-10251,"Sankaty Advisors, LLC"
-10250,San Juan Water District
-10249,San Juan Unified School District
-10248,San Juan Ridge Tax Payers Association
-10247,"San Juan Capistrano, City Of"
-10246,San Jose Unified School District
-10245,San Jose State University
-10244,"San Jose Sharks, LLC"
-10243,San Jose Peace and Justice Center
-10242,San Jose Mayor Sam Liccardo
-10241,San Jose Fire Fighters Local 230 PAC
-10240,San Jose Evergreen Community College District
-10239,San Jose Conservation Corps & Charter School
-10238,San Jose Conservation Corps
-10237,"San Jose, City Of"
-10236,"San Jose City Attorney, Richard Doyle"
-10235,"San Jose, CA"
-10234,"San Jose/Evergreen Faculty Association, AFT 6157 COPE"
-10233,San Jose-Evergreen Community College District
-10232,San Joaquin Valley Unified Air Pollution Control District
-10231,San Joaquin Valley Regional Planning Agencies Directors Committee
-10230,San Joaquin Valley Drainage Authority
-10229,San Joaquin Valley Air Pollution Control District
-10228,San Joaquin Valley Air Districts
-10227,San Joaquin River Parkway And Conservation Trust Inc.
-10226,San Joaquin River Exchange Contractors Water Authority
-10225,San Joaquin Joint Powers Authority
-10224,San Joaquin District Attorney's Office
-10223,San Joaquin Distributors Inc.
-10222,San Joaquin County Rental Property Association
-10221,San Joaquin County Regional Conservation Corp
-10220,San Joaquin County Probation Officers Association
-10219,San Joaquin County Office Of Education
-10218,"San Joaquin, County Of"
-10217,San Joaquin County
-10216,San Joaquin Council Of Governments
-10215,San Joaquin Bit
-10214,San Joanquin Energy LLC
-10213,"San Jacinto, City Of"
-10212,Sanitary District No. 1 Of Marin County
-10211,Sanger Unified School District
-10210,Sanger City Of
-10209,San Gabriel Valley Water Association
-10208,San Gabriel Valley Water Company
-10207,San Gabriel Valley Municipal Water District
-10206,"San Gabriel Valley Education Consortium, The"
-10205,San Gabriel Valley  Economic Partnership
-10204,San Gabriel Valley Council Of Governments
-10203,San Gabriel Basin Water Quality Authority
-10202,"San Gabriel ADHC Associates, LLC dba ABC Therapy Center"
-10201,San Francisco Women's Political Committee
-10200,San Francisco Waterfront Alliance
-10199,San Francisco Unified School District
-10198,San Francisco Tenants Union
-10197,San Francisco Teacher Residency
-10196,San Francisco Taxi Workers Alliance
-10195,San Francisco Taxi Cab Driver
-10194,San Francisco State University
-10193,San Francisco Spca
-10192,San Francisco Senior and Disability Action
-10191,San Francisco Recreation and Park District
-10190,San Francisco Recreation & Parks
-10189,"San Francisco Real Estate Board, A California Corporation Dba San Francisco Association Of Realtors"
-10188,San Francisco Public Utilities Commission
-10187,San Francisco Public Defenders Office
-10186,San Francisco Public Defender Jeff Adachi
-10185,San Francisco Public Defender
-10184,San Francisco Police Officers Association
-10183,San Francisco Office of Economic and Work Force Development
-10182,San Francisco Museum Of Modern Art
-10181,San Francisco Municipal Transportation Agency
-10180,San Francisco Mayor Edwin Lee
-10179,San Francisco Mayor Ed Lee
-10178,San Francisco Maritime National Park Association
-10177,san francisco juvenile probation department
-10176,San Francisco Jewish Vocational Services
-10175,San Francisco International Airport
-10174,San Francisco Human Services Agency
-10173,San Francisco Healthplan
-10172,San Francisco Green Party
-10171,"San Francisco District Attorney, George Gascon"
-10170,San Francisco Department of the Environment
-10169,San Francisco County Transportation Authority
-10168,San Francisco Council of District Merchants Association
-10167,San Francisco Council of Community Housing Organizations
-10166,San Francisco Conservation Corps
-10165,San Francisco Community College District
-10164,San Francisco City Attorney's Office
-10163,"San Francisco, City And County Of"
-10162,San Francisco Childcare Planning and Advisory Council
-10161,"San Francisco, California"
-10160,San Francisco Bicycle Coalition
-10159,San Francisco Baykeeper
-10158,San Francisco Bay Area Water Emergency Transportation Authority
-10157,San Francisco Bay Area Rapid Transit District
-10156,San Francisco Bay Area Rapid Transit
-10155,San Francisco Bay Area Physicians for Social Responsibility
-10154,San Francisco Bar Pilots
-10153,San Francisco Assn. of Realtors
-10152,San Francisco Aids Foundation
-10151,Sandisk
-10150,San Dieguito Union School District
-10149,San Diego Water Authority
-10148,San Diego Volunteer Lawyer Program
-10147,San Diego Unified School District
-10146,San Diego Unified Port District
-10145,San Diego State University
-10144,San Diego State Univeristy
-10143,San Diego Society Of Natural History
-10142,San Diego Second Chance Program
-10141,San Diego School Police Officers' Association
-10140,San Diego River Conservancy
-10139,San Diego Regional Chamber Of Commerce
-10138,San Diego Regional Center
-10137,San Diego Police Officers Association
-10136,San Diego Padres
-10135,San Diego Off Road Coalition
-10134,San Diego Non-Profit Association
-10133,San Diego Municipal Employees Association
-10132,San Diego Metropolitan Transit System
-10131,San Diego Metropolitan Transit Development Board
-10130,San Diego Housing Federation
-10129,San Diego Housing Commission
-10128,San Diego Gas and Electric
-10127,San Diego District Attorney
-10126,San Diego Credit Unions PAC
-10125,San Diego County Water Authority
-10124,San Diego County Water Agency
-10123,San Diego County Superintendent Of Schools
-10122,San Diego County Sheriff'S Department
-10121,San Diego County Regional Airport Authority
-10120,San Diego County Probation Officers Association
-10119,San Diego County Office of Education
-10118,San Diego County District Attorney's Office
-10117,San Diego County Court Employees Association
-10116,San Diego County Building and Construction Trades Council
-10115,San Diego County Board of Supervisors
-10114,San Diego County Apartment Assoc. PAC
-10113,San Diego County Apartment Association
-10112,San Diego County
-10111,San Diego Community College District
-10110,San Diego City Fire Fighters Local 145
-10109,San Diego Children'S Museum
-10108,"San Diego, CA"
-10107,San Diego Association Of Governments
-10106,San Diego Co Apartment Assn PAC
-10105,SanDiego350
-10104,San Diego-Imperial Counties Labor Council
-10103,San Diego
-10102,"Sanders Capital, LLC"
-10101,Sandell Asset Management Corp.
-10100,Sandata Technologies
-10099,San Clemente City Of
-10098,"San Buenaventura, City Of"
-10097,San Bernardino Valley Water Conservation District
-10096,San Bernardino Valley Municipal Water District
-10095,San Bernardino Public Employees Association
-10094,San Bernardino Police Officers Assoc
-10093,San Bernardino Municipal Water Department
-10092,San Bernardino County Transportation Authority
-10091,San Bernardino County Superintendent Of Schools
-10090,San Bernardino County Sheriff John McMahon
-10089,San Bernardino County SheriffS Employees Benefit Association
-10088,San Bernardino County Sheriff'S Department
-10087,San Bernardino County Safety Employees' Benefit Association
-10086,San Bernardino County Safety Employees Association
-10085,"San Bernardino, County Of"
-10084,San Bernardino County Employees' Retirement Association
-10083,San Bernardino County Board of Supervisors
-10082,San Bernardino County
-10081,San Bernardino Community College District
-10080,San Bernardino City Unified School District
-10079,San Bernardinocity Of
-10078,San Bernardino Associated Governments
-10077,San Benito County Office Of Education
-10076,San Benito County
-10075,San Antonio Water System
-10074,San Antonio Water Company
-10073,SAN ANTONIO PROFESSIONAL FIRE FIGHTERS ASSOCIATION
-10072,SAN ANTONIO POLICE OFFICERS ASSOCIATION
-10071,San Antonio Police Department
-10070,San Antonio Pets Alive!
-10069,"San Antonio Mobility Coalition, Inc."
-10068,San Antonio Fire Department Local 624
-10067,San Antonio Fire & Police Pension Fund
-10066,"Samsung Semiconductor, Inc."
-10065,Samsung
-10064,"Samson Energy Company, LLC"
-10063,Sam Etchegaray
-10062,Samcorp
-10061,Samaritan Ministries International
-10060,Salwan Property Management & Investment
-10059,Salvation Army in California
-10058,Salvation Army
-10057,Salton Sea Authority
-10056,"Sallie Mae, Inc."
-10055,Salinas Valley Memorial Healthcare System
-10054,"Salinas, City Of"
-10053,"Salient Capital Advisors, LLC"
-10052,"Salesforce.Com, Inc."
-10051,Salesforce
-10050,Saint Anthony Foundation
-10049,"Sas Institute, Inc."
-10048,Sail San Francisco
-10047,Sage Telecom
-10046,Sagaser  Watkins & Wieland  PC
-10045,"Safeway, Inc. Including Its Affiliated Entity The Vons Companies, Inc."
-10044,Safety Net Hospital Alliance of Florida
-10043,SafetyKleen Systems Inc
-10042,Safety-Kleen Corporation
-10041,Safer Streets L.A.
-10040,Safe Routes to School National Partnership
-10039,Safe Routes to School
-10038,Safer Building Solutions
-10037,Safe Quest Solano
-10036,Safepoint Insurance Company
-10035,Safepath Products
-10034,"Safelite Group, Inc."
-10033,"Safeguard Health Plans, Inc"
-10032,"Safedata Management Services, Inc."
-10031,Safeco Insurance Company
-10030,Safe Alternatives to Violent Environments
-10029,"Safari Club International, California Chapters"
-10028,Safari Club International-California Chapters
-10027,Sadler Consulting
-10026,Saddleback Valley Unified School District
-10025,Sacred Heart Health System
-10024,Sacramento Valley Landowners Association
-10023,Sacramento Superior Court
-10022,Sacramento Suburban Water District
-10021,Sacramento State University
-10020,Sacramento START
-10019,Sacramento SPCA
-10018,Sacramento Sheriffs Dept
-10017,"Sacramento River Cats Baseball Club, LLC"
-10016,Sacramento Resident
-10015,Sacramento Republic Fc
-10014,Sacramento Regional Transit District
-10013,"Sacramento Natural Gas Storage, LLC"
-10012,Sacramento Municipal Utility District
-10011,Sacramento Metropolitan Chamber of Commerce
-10010,Sacramento Metropolitan Air Quality Management District
-10009,Sacramento Metro Chamber of Commerce
-10008,Sacramento Loaves And Fishes
-10007,Sacramento LGBT Community Center
-10006,Sacramento Immigration Alliance
-10005,Sacramento  Homeless Organizing Committee
-10004,Sacramento Food Bank & Family Services
-10003,Sacramento District Attorney's Office
-10002,Sacramento County Water Agency
-10001,Sacramento County Transportation Department
-10000,Sacramento County Sheriff's Department
-9999,Sacramento County Probation Association PAC
-9998,Sacramento County Office of Education
-9997,"Sacramento, County Of"
-9996,Sacramento County Law Enforcement Manager's Association
-9995,Sacramento County Employees Retirement System
-9994,Sacramento County Deputy Sheriffs' Association
-9993,Sacramento County Deputy Sheriffs
-9992,Sacramento County Board of Supervisors
-9991,Sacramento County
-9990,Sacramento City Unified School District
-9989,Sacramento City Of
-9988,Sacramento City College
-9987,Sacramento Children's Home
-9986,Sacramento Central Labor Council AFL-CIO
-9985,Sacramento Central Labor Council
-9984,"Sacramento, CA"
-9983,Sacramento Black Chamber Of Commerce
-9982,Sacramento Area Flood Control Agency
-9981,Sacramento Area Council Of Governments
-9980,Sacramento Area Congregation Together
-9979,"Sacramento Advocates, Inc."
-9978,Sacramento-Sierra's Building and Construction Trades Council
-9977,Sabic Innovative Plastics Us LLC
-9976,Sabic Innovative Plastics
-9975,Saban Capital Group
-9974,Ryo Cigar Association
-9973,"Rye Canyon Self Storage, LLC"
-9972,"Ryder System, Inc"
-9971,Ryan LLC PAC
-9970,RYAN & CO
-9969,"Ryan, Inc."
-9968,"Rx Development Associates, Inc"
-9967,RW HALL GENERAL CONTRACTORS
-9966,RVOS Farm Mutual Insurance Company
-9965,RUTH'S LIST FLORIDA
-9964,"Ruth & Going, Inc."
-9963,Rutan & Tucker
-9962,"Russian American Media, Inc"
-9961,Russ Klenet & Associates
-9960,Rural Rental Housing Assn.
-9959,Rural County Representatives of California
-9958,Rural Counties Representatives of California
-9957,Rural Counties Associations
-9956,Rural Community Assistance Corporation
-9955,"Runyon Saltzman Einhorn, Inc."
-9954,Runyon Saltzman & Einhorn Inc.
-9953,Rumsey Indian Rancheria
-9952,Rucka O'Boyle Lombardo & McKenna
-9951,Rubber Manufacturers Association
-9950,RUBBER APPLICATION
-9949,RTI International
-9948,R Street Institute
-9947,RSA Consulting Group LLC
-9946,RRW OF GAINESVILLE
-9945,Rpm International Inc.
-9944,"Rpm, Inc."
-9943,"Rpk Capital Management, LLC"
-9942,"R P Funding, Inc."
-9941,S R PERROTT INC
-9940,Rozwood  Ben Law Offices of
-9939,"Royal Gorge, LLC"
-9938,Royal Coaches Auto Body & Towing
-9937,Royal  Caribbean Cruises LTD
-9936,ROXBURY MANAGEMENT CO.
-9935,"Roxborough, Pomerance, Nye & Adreani"
-9934,Rover.Com
-9933,Rouda Feder Tietjen & McGuinn
-9932,Rosoff  Schiffres  and Barta
-9931,"Roseville, City Of"
-9930,"Roseville, CA"
-9929,"Rosemead, City Of"
-9928,Rosemary Shahan
-9927,"Rose, Klein & Marias"
-9926,Roseburg Forest Products
-9925,Ross Communications
-9924,Roots of Change
-9923,Root and Rebound Reentry Advocates
-9922,Root & Rebound
-9921,ROONEYS PUBLIC HOUSE
-9920,Roofing Contractors Association Of California
-9919,"Roos & Company, Mike"
-9918,Rincon San Luiseno Band Of Indians; The
-9917,Ron Lewis & Associates
-9916,Ron Kaufman Companies
-9915,Rincon Band of Luiseno Mission Indians of the Rincon Reservation of CA
-9914,"Rincon Band of Luiseno Mission Indians of the Rincon Reservation, California"
-9913,Ronald L. Book PA
-9912,Ronald Blue & Co CPAs
-9911,Rincon
-9910,Romoland School District
-9909,Romic Environmental Technologies
-9908,"Rogers, Anderson, Malody & Scott, LLP"
-9907,Rockview Dairies
-9906,RockTenn
-9905,Rockpointe Corporation
-9904,Rockman Company
-9903,Rocklin Unified School District
-9902,Rocklin Development Agency
-9901,Rockledge Associates
-9900,Rocket Learning
-9899,"Roche Surety and Casualty Company, Inc"
-9898,ROCHESTER POLICE LOCUST CLUB INC
-9897,ROCHESTER & SOUTHERN RAILROAD
-9896,Roche Good Government Committee
-9895,Roche Diagnostics
-9894,Robinson Oil
-9893,Robinsons Mechanical Construction Inc.
-9892,"Robin Brothers, LLC"
-9891,Robert W. Baird & Co.
-9890,"Robertson'S Ready Mix, Ltd."
-9889,ROBERTS REAL ESTATE
-9888,ROBERT M LEVY ASSOCIATES INC
-9887,Robert M. Levy & Associates Inc
-9886,Robert F. Kennedy National Resource Center for Juvenile Justice
-9885,Robert F. Kennedy Medical Plan
-9884,"S. Robert Diener, Esq."
-9883,Robert Bosch LLC
-9882,"Robeco Investment Management, Inc."
-9881,"R Myles Riner, MD Consulting"
-9880,Rmc Pacific Materials
-9879,R. Marston
-9878,RL STACY CONSTRUCTION COMPANY INC
-9877,"R.L. Polk Company, The"
-9876,Rl Polk & Company
-9875,RL Polk  Company
-9874,RJ Watkins & Co
-9873,R.J. Reynolds Tobacco Company
-9872,Riverstone Equity Partners LP
-9871,RIVER STONE CLAIMS MANAGEMENT LLC
-9870,Riverside Unified School District
-9869,Riverside Sheriff's Association Public Education Fund
-9868,Riverside Sheriffs' Association
-9867,Riverside Publishing Company
-9866,Riverside Land Conservancy
-9865,Riverside District Attorney
-9864,Riverside County Transportation Commission
-9863,Riverside County Superior Court
-9862,Riverside County Superintendent of Schools
-9861,Riverside County Sheriff'S Department
-9860,Riverside County School Superintendents' Association
-9859,Riverside County Schools Advocacy Association
-9858,Riverside County Schools
-9857,Riverside County Office Of Education
-9856,Riversidecounty Of
-9855,"Riverside County Division, League of California Cities"
-9854,Riverside County District Attorney's Office
-9853,Riverside County
-9852,Riverside Community College District
-9851,Riversidecity Of
-9850,"Riverside City College, Guardian Scholars Program"
-9849,"River Ranch Holdings, LLC"
-9848,River Place HOA
-9847,RIVERFRONT PACKING COMPANY LLC
-9846,"River Distribution Co., LLC"
-9845,"River Distributing Co., LLC"
-9844,River Delta Unified School District
-9843,Riverdeep Inc. LLC
-9842,Riverdale Unified School District
-9841,"Riverbank, City Of"
-9840,RIVADA NETWORKS
-9839,Rite of Passage
-9838,Rite Aid Headquarters Corp.
-9837,Rite Aid Headquarters Corporation
-9836,Rite Aid Hdqtrs. Corp.
-9835,Rite Aid Corporation
-9834,Ristorante Piemontesi Inc.
-9833,RISK TRANSFER HOLDINGS
-9832,"Risk Premium Investment Management Company, LLC"
-9831,Risk Management Solutions
-9830,Risk Insurance Managements Society
-9829,Rising Sun Energy Center
-9828,"Rise, Inc."
-9827,RIPA & ASSOCIATES LLC
-9826,Rio Tinto Minerals Inc.
-9825,Rio Hondo Community College District
-9824,"Rio Grande Valley Sugar Growers, Inc."
-9823,Rio Grande Electric Cooperative
-9822,Rio Bravo Investimentos Ltda
-9821,Rio Americano High School
-9820,Rinnai America Corporation
-9819,RIDDLE CONSULTING ENGINEERS
-9818,Rick Engineering
-9817,"Rick and Connie Nafzinger, Inc."
-9816,RICHMOND HILL CAPITAL PARTNERS
-9815,"Richmond, City Of"
-9814,Richmond City Council
-9813,"Richmond, CA"
-9812,Richland Planned Communities Inc.
-9811,Richards Watson & Gershon
-9810,Richardson Stevedoring and Logistics
-9809,Richardson ISD
-9808,RICHARD G SELLERS MD PA
-9807,Richard G Hardy & Associates
-9806,RICHARD E. RAYMOND CAMPAIGN
-9805,Richard Daum
-9804,"Ria Telecommunications, Inc. And Ria Envia, Inc., Affiliated Companies"
-9803,Rialto City Of
-9802,RGV Trans Support
-9801,"Reynolds Smith and Hills, Inc"
-9800,Reynolds Packaging LLC
-9799,"Reynolds American, Inc. (RAI Services Company)"
-9798,"Reynolds American, Inc."
-9797,REV TRI COACHING
-9796,Revivermx
-9795,Returning Home Foundation
-9794,Retirement Options For Professional Educators
-9793,Retired Teachers
-9792,Retired Public Employees Association
-9791,Retired Firefighter
-9790,Retired Employees Of Kern County
-9789,Retired CDCR Employee
-9788,Retired Bus. 20 year volunteer-TX Education grandparent
-9787,Retired
-9786,"RETAIL, WHOLESALE & DEPT STORE UNION"
-9785,RetailMeNot Inc.
-9784,Retail Industry Leaders Association (Rila)
-9783,Retail Industry Leaders Association
-9782,ret
-9781,Restore the Fourth Bay Area Chapter
-9780,Restoration Association of Florida
-9779,Restaurant Opportunities Center of Los Angeles
-9778,ResponsiveEd
-9777,Responsible Industry For A Sound Environment
-9776,"Responsible Biosolids Management, Inc."
-9775,Resources Legacy Fund
-9774,Resource Landowners Coalition
-9773,"Resources for Indian Student Education, Inc."
-9772,"Resorts World Miami, LLC"
-9771,RESORT INNS OF AMERICA INC
-9770,Resolution Strategies Inc
-9769,Resilience Capital Partners
-9768,Residents United Network
-9767,Residential Contractors Association
-9766,Residence Mutual Insurance Company
-9765,Reserve Officers Association of the United States
-9764,"Research Affiliates, LLC"
-9763,"ResCare, Inc. Advocacy Fund"
-9762,"Rescare, Inc."
-9761,Republic Services Western Region
-9760,Republic Services
-9759,REPUBLIC NATIONAL DISTRIBUTING CO
-9758,REPUBLICAN WOMEN OF NORTHEAST TEXAS
-9757,Republican Party of Texas
-9756,Represent.Us
-9755,RePLANET LLC
-9754,"ReNu Resources, LLC"
-9753,Rental Housing Association Of Northern Alameda County
-9752,RentACenter
-9751,Rent-A-Center
-9750,Renshaw Bay LLP
-9749,Renovo Services LLC
-9748,Renovate America
-9747,Renew Financial
-9746,Renewable Resources Group
-9745,Renal Advantage Inc.
-9744,"Remington Arms Company, LLC"
-9743,REMHDCO
-9742,Remembrance Project
-9741,Remax Realty
-9740,RELX Inc.
-9739,Reliant Energy Inc.
-9738,RELIABLE GROUP LLC
-9737,Relayrides
-9736,Related Companies of California
-9735,Reinsurance Association Of America
-9734,Reimbursement Services LLC
-9733,Reid & Hellyer  APC
-9732,"Reich, Adell & Cvitan"
-9731,ReGreen Corporation
-9730,Registration Services Association
-9729,"Registrar of Voters, Cathy Darling Allen"
-9728,Regions Financial Corporation
-9727,Regional Water Authority
-9726,"Regional Parking, Inc."
-9725,Regional Parks Association
-9724,Regional Hispanic Chamber Of Commerce
-9723,Regional Defense Partnership For The 21ST Century
-9722,Regional Council Of Rural Counties (Rcrc) And Its Joint Powers Authorities
-9721,Regional Asthma Management and Prevention
-9720,Region 11AMATEUR Field Trial Clubs Of Americainc.
-9719,Regis Management Company
-9718,"Regency Outdoor Advertising, Inc."
-9717,Regency
-9716,"Regatta Solutions, Inc."
-9715,Regal Medical Group
-9714,Refugee Services of Texas
-9713,"Reedley, City Of"
-9712,Reed Government Relations
-9711,Reed Elsevier Inc. And Affiliates
-9710,Reed Elsevier Inc.
-9709,"Redwood Toxicology Laboratory, Inc."
-9708,Redwoods Rural Health Center
-9707,Redwood Community Services
-9706,Redwood Community Action Agency's Youth Service Bureau
-9705,Redwood Childrens Center SAART
-9704,Red Rover
-9703,"Redpoint Insurance Group, LLC"
-9702,Redondo Beach City Of
-9701,Redondo Beach Chamber of Commerce and Visitors Bureau
-9700,Redondo Beach Chamber of Commerce and Tourist Bureau
-9699,Red Mountain Capital Partners LLC
-9698,"Redlands, City Of"
-9697,"Redflex Traffic Systems, Inc."
-9696,REDFISH JIM ENTERPRISES LLC
-9695,Reddy  Krishna DDS  Inc
-9694,"Redding, City Of"
-9693,Red Bluff High School
-9692,Red and White Fleet
-9691,"Recurrent Energy Development Holdings, LLC"
-9690,"Recurrent Energy, LLC"
-9689,Recreation Vehicle Industry Association
-9688,Recreational Off-Highway Vehicle Association
-9687,Recreational Fishing Alliance
-9686,Recreational Boaters Of California
-9685,Recovery National Corporation
-9684,RECORDING INDUSTRY ASSOCIATION OF AMERICA PAC
-9683,Recording Industry Association Of America
-9682,Recording For The Blind And Dyslexic
-9681,Recording Artists Coalition
-9680,Record Currency Management Limited
-9679,Recology Political Action Committee
-9678,Recology Inc. PAC
-9677,Recology
-9676,Reclamation District 1000
-9675,"Reckitt Benckiser Pharmaceuticals, Inc."
-9674,"Reckitt Benckiser, Inc."
-9673,receivables management association
-9672,Reason Foundation
-9671,Realtor
-9670,"Real Property, Probate & Trust Law Section"
-9669,Realogy Holdings Corporation
-9668,Realogy Corporation
-9667,REAL ESTATE INSYNC INC
-9666,"Realenergy, LLC"
-9665,Ready Nation
-9664,"Read & Associates, Aaron"
